X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,strain_xx,strain_yy,strain_xy,magnitude
1.3131313,2.2626262,-0.0029959604,-0.011447273,-42.257133,-99.21149,-45.558353,1.589937e-05,-0.0049201446,-0.007896781,0.01183283
1.3131313,2.3030303,-0.0030368045,-0.011644982,-42.83622,-98.526794,-46.642654,-3.703412e-05,-0.0048635504,-0.0080847265,0.012034442
1.3131313,2.3434343,-0.0030752495,-0.011840232,-43.464066,-97.756584,-47.723034,-9.514853e-05,-0.004800501,-0.008271992,0.01223308
1.3131313,2.3838384,-0.0031108446,-0.0120327845,-44.156715,-96.90214,-48.792118,-0.000159385,-0.0047306553,-0.0084573,0.012428406
1.3131313,2.4242425,-0.0031433105,-0.012222417,-44.935524,-95.96362,-49.844025,-0.00023103424,-0.0046534697,-0.008639631,0.012620138
1.3131313,2.4646466,-0.0031721853,-0.012408711,-45.81214,-94.92793,-50.88017,-0.00031114375,-0.0045678453,-0.008819229,0.012807766
1.3131313,2.5050504,-0.0031970479,-0.012591392,-46.763187,-93.7683,-51.90427,-0.00039899064,-0.004472768,-0.00899674,0.01299093
1.3131313,2.5454545,-0.0032174438,-0.0127700195,-47.75474,-92.46734,-52.91036,-0.00049297005,-0.004368062,-0.009171128,0.013169106
1.3131313,2.5858586,-0.0032328218,-0.012944214,-48.794563,-91.03704,-53.879482,-0.00059324043,-0.0042542554,-0.00933911,0.013341807
1.3131313,2.6262627,-0.0032428056,-0.013113685,-49.897263,-89.4985,-54.790176,-0.00070013944,-0.0041322466,-0.009496964,0.013508683
1.3131313,2.6666667,-0.0032465942,-0.01327803,-51.05454,-87.847626,-55.635506,-0.00081327,-0.0040020053,-0.009643488,0.013669179
1.3131313,2.7070708,-0.003243804,-0.013436958,-52.25924,-86.068886,-56.415615,-0.000932603,-0.0038627721,-0.009778706,0.013822955
1.3131313,2.7474747,-0.0032337382,-0.013590053,-53.50983,-84.153915,-57.12524,-0.0010582614,-0.0037140818,-0.009901708,0.013969488
1.3131313,2.7878788,-0.0032156557,-0.0137369335,-54.80248,-82.09938,-57.753586,-0.0011900997,-0.0035558313,-0.0100106215,0.014108288
1.3131313,2.8282828,-0.0031887814,-0.013877258,-56.128696,-79.90213,-58.28734,-0.0013276854,-0.0033880498,-0.010103138,0.014238912
1.3131313,2.868687,-0.0031524785,-0.014010586,-57.4759,-77.55722,-58.711906,-0.0014703834,-0.0032107646,-0.01017673,0.014360871
1.3131313,2.909091,-0.0031058379,-0.014136627,-58.829033,-75.058304,-59.01144,-0.0016174454,-0.0030239823,-0.01022865,0.014473786
1.3131313,2.9494948,-0.0030478574,-0.014254868,-60.171494,-72.39926,-59.168556,-0.0017680232,-0.0028277629,-0.0102558825,0.01457706
1.3131313,2.989899,-0.0029778108,-0.014364988,-61.484993,-69.57463,-59.16399,-0.0019211493,-0.002622251,-0.010255092,0.014670386
1.3131313,3.030303,-0.002894409,-0.014466636,-62.749184,-66.581314,-58.9769,-0.0020756698,-0.0024077878,-0.010222662,0.014753344
1.3131313,3.070707,-0.0027966723,-0.014559448,-63.940605,-63.41864,-58.585136,-0.0022301788,-0.002184942,-0.010154757,0.014825616
1.3131313,3.1111112,-0.002683524,-0.014643095,-65.031105,-60.08928,-57.965908,-0.0023828987,-0.0019546077,-0.010047424,0.014886959
1.3131313,3.1515152,-0.002553571,-0.014717311,-65.98679,-56.599586,-57.096935,-0.0025316097,-0.0017180515,-0.009896802,0.014937201
1.3131313,3.191919,-0.002405461,-0.014781855,-66.76633,-52.9599,-55.95715,-0.0026735335,-0.0014769759,-0.009699239,0.0149762975
1.3131313,3.2323232,-0.0022378638,-0.014836602,-67.32067,-49.183964,-54.527946,-0.0028053375,-0.00123349,-0.00945151,0.015004426
1.3131313,3.2727273,-0.0020494945,-0.014881529,-67.593864,-45.290077,-52.793346,-0.0029231529,-0.0009901574,-0.009150847,0.015021995
1.3131313,3.3131313,-0.0018388852,-0.014916666,-67.52409,-41.30013,-50.74103,-0.0030226582,-0.00074991473,-0.008795112,0.015029585
1.3131313,3.3535354,-0.0016047433,-0.014942214,-67.04434,-37.23911,-48.362766,-0.0030991398,-0.00051601976,-0.008382879,0.015028139
1.3131313,3.3939395,-0.001345668,-0.014958486,-66.08411,-33.136505,-45.655193,-0.0031475537,-0.0002920945,-0.007913567,0.0150188925
1.3131313,3.4343433,-0.001060497,-0.0149660185,-64.56963,-29.026426,-42.62121,-0.0031625375,-8.212601e-05,-0.007387676,0.015003545
1.3131313,3.4747474,-0.00074790046,-0.014965385,-62.42348,-24.950085,-39.271996,-0.0031383226,0.00010937209,-0.0068071457,0.014984062
1.3131313,3.5151515,-0.00040707737,-0.014957532,-59.565388,-20.959,-35.62944,-0.0030686995,0.0002771875,-0.0061757695,0.014963071
1.3131313,3.5555556,-3.6992133e-05,-0.014943391,-55.912853,-17.116608,-31.72867,-0.0029470145,0.00041532668,-0.005499636,0.014943437
1.3131313,3.5959597,0.00036262348,-0.014924452,-51.381897,-13.494279,-27.620398,-0.0027663175,0.0005172765,-0.0047875354,0.014928856
1.3131313,3.6363637,0.0007922165,-0.014902182,-45.888836,-10.161525,-23.373394,-0.0025197233,0.00057664403,-0.0040513882,0.014923225
1.3131313,3.6767676,0.0012512393,-0.0148784965,-39.359184,-7.1861067,-19.081156,-0.002200952,0.00058738183,-0.0033074003,0.014931017
1.3131313,3.7171717,0.001738824,-0.014855467,-31.76595,-4.6911287,-14.883665,-0.001805165,0.0005413196,-0.0025798352,0.014956885
1.3131313,3.7575758,0.002252806,-0.014835618,-23.125505,-2.779846,-10.983017,-0.0013306715,0.00043261927,-0.001903723,0.015005689
1.3131313,3.7979798,0.0027902238,-0.014821023,-13.296691,-1.0508823,-7.4607053,-0.00077934307,0.0002819605,-0.0012931889,0.015081381
